x,y
-2.080448594159669540e+00,-1.048216389258133674e+01
-4.336533033693908828e-02,-5.319182177900701802e+00
5.035985621872898221e-01,3.815846440045393528e+00
-1.274386319997782735e+00,-1.242194861400891526e+00
-1.152709103941663704e+00,-9.878845428746420021e-01
-6.035552123901044563e-01,-1.117749129647898076e+00
2.233661485853734252e+00,3.541556519961533667e+01
8.457903165655463740e-01,9.790872362631036552e+00
-1.885823299661283092e-01,2.666310494982039092e+00
2.275301876055539019e+00,3.475142671564750430e+01
-6.405338704001772854e-01,4.757396895691504923e+00
2.322862960263521348e+00,4.031717007764387262e+01
5.459743097283883406e-01,1.432676165269308299e+00
3.355954199788580006e-01,6.574686722797062011e+00
8.777439691696360402e-01,5.881401918335338763e+00
1.526514688300508515e+00,2.044481400787525160e+01
1.292754995403201379e+00,5.753402077751443855e+00
3.287887894531737465e-01,3.545107970239270045e+00
1.697512840391887545e+00,1.808073733891339074e+01
5.748281308681844060e-01,-3.106622374480612514e+00
-4.111973318093897212e-01,4.158647685405008509e+00
1.869573045165180192e+00,2.906760861769800997e+01
-1.718997327211943649e+00,8.220561360179370780e+00
2.389574735734011579e+00,4.041640408899309023e+01
1.147176257725790682e+00,-1.467473734440524424e+00
8.029637666633196447e-02,1.090208226440366879e+01
-2.108113725622204004e+00,-9.273200436636511057e+00
5.831866186611276426e-01,1.603781186126957969e+00
3.009686491910542605e-01,3.378605945452269665e+00
-2.763976080981071504e-01,2.914106933476343197e+00
-2.138506693195306507e+00,-1.467435309111945152e+01
-1.306394408215671543e+00,-3.934499831626550481e+00
1.348600305756123552e+00,1.555116354476025364e+01
-5.239620439870196211e-02,-1.128511647058994427e+00
2.445577043413188489e-01,6.755121565916851090e+00
6.018455173942747205e-01,1.388138346066271822e+01
1.756792118035382932e+00,1.633871114110113254e+01
9.228582869809648370e-01,8.783645420312737429e+00
1.104118589126907191e+00,7.724365056292390008e+00
-7.374488749902914364e-01,1.887748292171896658e+00
9.142671795709207405e-01,-6.975277240937316492e-01
-1.133565607464413816e+00,-3.719622863854787020e+00
-2.520659652694369868e+00,-1.496739032263447022e+01
-2.519272764911517637e+00,-1.467518134944953268e+01
2.301918071210239392e-01,3.164742373423878874e-01
-2.497681855463278033e+00,-1.331900626975127722e+01
7.129631113252288266e-01,8.838469262371873469e+00
4.290585274856334452e-01,7.393630063405893793e+00
